words,counts
apartment,34608
amsterdam,28110
room,18642
kitchen,16952
city,14995
house,14641
living,12790
bedroom,12305
bathroom,12190
located,11620
minutes,11133
area,11049
bed,10967
floor,10567
restaurants,9330
nice,8953
one,8792
spacious,8612
walk,8022
centre,7856
de,7729
two,7693
close,7504
stay,7438
also,7351
center,7224
tram,7187
station,7052
walking,6957
place,6946
great,6847
around,6736
quiet,6652
balcony,6487
min,6478
comfortable,6146
large,6138
central,6070
fully,6025
equipped,6023
beautiful,5920
home,5877
private,5872
bars,5787
garden,5766
distance,5755
enjoy,5619
modern,5567
shower,5404
perfect,5333
big,5332
double,5252
need,5211
light,5189
toilet,5071
access,4964
away,4952
public,4800
street,4722
bedrooms,4612
shops,4550
neighborhood,4541
corner,4541
en,4529
free,4509
available,4461
within,4219
open,4192
neighbourhood,4145
everything,4095
find,4084
view,4040
like,3984
transport,3962
small,3956
vondelpark,3919
square,3871
bike,3826
lovely,3808
situated,3736
renovated,3720
well,3682
guests,3645
use,3585
tv,3543
space,3541
coffee,3530
terrace,3480
cosy,3453
dining,3426
famous,3416
canal,3406
museum,3404
bus,3354
jordaan,3346
machine,3268
minute,3257
new,3254
welcome,3251
wifi,3235
location,3193
van,3129
separate,3069
bright,3038
make,3014
west,3009
near,2968
studio,2936
many,2927
table,2908
pijp,2904
next,2878
park,2856
feel,2834
take,2788
whole,2767
people,2760
right,2760
cozy,2755
front,2750
market,2736
good,2732
day,2691
het,2652
nearby,2644
appartment,2616
old,2569
lot,2569
sunny,2525
building,2521
best,2477
een,2473
bath,2440
lots,2429
get,2390
you,2372
couples,2345
family,2344
always,2284
please,2245
oven,2243
district,2221
first,2137
canals,2134
easy,2110
dishwasher,2103
clean,2084
ground,2083
metro,2065
questions,2058
second,2047
th,2027
parking,2018
in,2016
dam,2003
full,1981
time,1966
love,1960
heart,1949
couch,1941
airport,1940
relax,1934
train,1919
there,1897
beds,1890
sofa,1865
washing,1860
water,1850
part,1846
want,1840
sun,1831
popular,1829
met,1769
it,1761
roof,1758
local,1754
check,1741
entrance,1737
shopping,1728
back,1728
fridge,1721
little,1713
door,1711
leidseplein,1689
rent,1657
rooms,1655
westerpark,1643
experience,1639
live,1636
stop,1629
including,1627
windows,1625
microwave,1610
south,1603
places,1601
trendy,1598
side,1589
albert,1585
breakfast,1574
shared,1569
amstel,1564
airbnb,1559
help,1556
etc,1550
go,1542
high,1539
families,1531
towels,1514
persons,1500
top,1495
appartement,1494
children,1491
reach,1483
supermarkets,1473
us,1472
entire,1463
outside,1455
dutch,1450
green,1446
ideal,1441
lively,1440
cafes,1440
frank,1432
east,1430
anne,1417
offers,1411
share,1406
unique,1399
schiphol,1397
floors,1387
couple,1384
recently,1363
rijksmuseum,1363
master,1353
supermarket,1349
size,1340
person,1337
single,1318
meters,1315
really,1309
museums,1301
extra,1297
streets,1293
op,1286
contact,1285
hidden,1277
give,1274
amazing,1274
livingroom,1271
ll,1266
main,1265
friendly,1257
suitable,1247
middle,1239
warm,1230
oud,1228
stairs,1227
see,1225
three,1222
typical,1217
offer,1211
night,1208
furnished,1195
town,1177
tips,1175
facilities,1175
sure,1174
phone,1171
features,1162
sleep,1160
happy,1155
business,1153
luxurious,1152
flat,1137
dryer,1133
every,1116
kids,1103
mins,1100
stops,1094
ride,1090
attractions,1085
guest,1083
sleeping,1082
explore,1075
gogh,1070
river,1068
cuyp,1059
je,1051
long,1046
vibrant,1041
friends,1036
luxury,1035
easily,1027
parks,1022
