host_is_superhost,host_identity_verified,zipcode,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,weekly_price,monthly_price,security_deposit,number_of_reviews,review_scores_rating,z_score
True,True,1013 XE,52.39022505041117,4.873924094742859,t,Apartment,Entire home/apt,5,1.0,2.0,2.0,160.0,$543.00,160.0,160.0,42,96.0,0.09768671782818647
True,True,1017,52.36508702680917,4.8935410078410095,t,Townhouse,Entire home/apt,2,1.0,1.0,1.0,80.0,560.0,80.0,80.0,233,87.0,0.5549000345412856
True,True,1016,52.37311440038617,4.883668196205626,f,Apartment,Entire home/apt,3,1.0,1.0,1.0,125.0,$650.00,125.0,125.0,1,100.0,0.18781998633345753
True,True,1013,52.386727316124684,4.892078070089338,t,Houseboat,Private room,2,1.0,1.0,1.0,150.0,$810.00,150.0,150.0,171,99.0,0.016113373782002467
True,True,1056,52.37534217754822,4.857289350245441,t,Apartment,Private room,2,1.0,1.0,2.0,65.0,455.0,65.0,65.0,434,93.0,0.6772600506105616
True,True,1017,52.367725410445736,4.891511737154662,t,Apartment,Private room,1,1.0,1.0,1.0,55.0,$350.00,55.0,55.0,383,95.0,0.7588333946567456
True,True,1059,52.3513205418674,4.84838289937379,f,Apartment,Entire home/apt,4,1.0,3.0,3.0,219.0,"$1,400.00",219.0,219.0,32,95.0,0.5789694477006722
True,True,1015,52.3789147700269,4.8832050564993645,f,Apartment,Entire home/apt,2,0.0,1.0,1.0,180.0,$650.00,180.0,180.0,76,95.0,0.2608334059205545
True,True,1012,52.36781447589647,4.890012023439633,t,Bed and breakfast,Private room,2,1.0,1.0,1.0,159.0,1113.0,159.0,159.0,426,98.0,0.08952938342356807
True,True,1054,52.3574562838326,4.861242085387215,f,Apartment,Entire home/apt,2,1.0,1.0,2.0,100.0,$680.00,100.0,100.0,61,80.0,0.39175334644891757
True,True,1015 JJ,52.380711229831924,4.886104318098604,t,Apartment,Entire home/apt,3,1.5,1.0,1.0,250.0,1750.0,250.0,250.0,176,98.0,0.8318468142438425
True,True,1018 LX,52.37016998640934,4.914377826765493,t,Apartment,Entire home/apt,4,1.0,2.0,3.0,200.0,1400.0,200.0,200.0,31,94.0,0.42398009401292247
True,True,1015 SV,52.37767639657083,4.876178648987073,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,155.0,$900.00,155.0,155.0,79,92.0,0.056900045805094474
True,True,1074 VM,52.35247025928299,4.908254440320653,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,150.0,1050.0,150.0,150.0,3,93.0,0.016113373782002467
True,True,1053 LZ,52.36798609885809,4.874469331907506,t,Apartment,Entire home/apt,3,1.0,2.0,2.0,140.0,$720.00,140.0,140.0,167,96.0,0.06545997026418154
True,True,1013,52.3804200178011,4.894534735097551,t,Apartment,Entire home/apt,4,2.0,3.0,4.0,350.0,2450.0,350.0,350.0,159,97.0,1.6475802547056826
True,True,1054 ZW,52.362663786120464,4.861031740012395,t,Boat,Entire home/apt,4,1.0,2.0,2.0,225.0,"$1,250.00",225.0,225.0,98,99.0,0.6279134541283825
True,True,1061,52.37727239832183,4.839252562940868,f,Townhouse,Entire home/apt,6,1.0,3.0,3.0,120.0,840.0,120.0,120.0,12,91.0,0.22860665835654956
True,True,1052,52.38200613161477,4.878649621335048,f,Apartment,Entire home/apt,2,1.0,1.0,1.0,125.0,875.0,125.0,125.0,91,96.0,0.18781998633345753
True,True,1016,52.36840789766318,4.884133704990546,f,Bed and breakfast,Private room,2,1.0,1.0,2.0,115.0,$640.00,115.0,115.0,213,97.0,0.2693933303796415
True,True,1055SC,52.377737441667115,4.848911991360075,f,Apartment,Entire home/apt,3,1.0,1.0,3.0,90.0,$485.00,90.0,90.0,152,91.0,0.47332669049510157
True,True,1019,52.370045892661075,4.9386912362462985,f,Apartment,Private room,2,1.5,1.0,1.0,72.0,$550.00,72.0,72.0,81,92.0,0.6201587097782327
True,True,1073,52.35339266870349,4.900637642957301,f,Guest suite,Private room,2,1.0,1.0,1.0,87.0,609.0,87.0,87.0,333,93.0,0.4977986937089568
True,True,1013 NN,52.389053371113825,4.885588535129939,t,Guest suite,Private room,2,1.0,1.0,1.0,75.0,$480.00,75.0,75.0,261,91.0,0.5956867065643776
True,True,1073,52.353483155689176,4.900490171525591,f,Guest suite,Private room,4,1.0,1.0,3.0,60.0,420.0,60.0,60.0,219,91.0,0.7180467226336535
True,True,1011,52.37125688886693,4.903513145133119,f,Apartment,Private room,2,1.0,1.0,1.0,86.0,$500.00,86.0,86.0,120,92.0,0.5059560281135752
True,True,1056EN,52.37560816034421,4.858187467526308,f,Apartment,Entire home/apt,4,1.0,3.0,3.0,250.0,$800.00,250.0,250.0,3,100.0,0.8318468142438425
True,True,1017 ZJ,52.35895649627122,4.897259341005234,t,Loft,Entire home/apt,3,1.0,1.0,1.0,159.0,$895.00,159.0,159.0,53,100.0,0.08952938342356807
True,True,1057,52.36965708064435,4.8620254265502405,f,Apartment,Private room,2,1.0,1.0,1.0,60.0,420.0,60.0,60.0,150,97.0,0.7180467226336535
True,True,1071 DN,52.356132975812436,4.885149546738222,f,Apartment,Entire home/apt,4,1.5,2.0,4.0,149.0,1043.0,149.0,149.0,88,97.0,0.007956039377384067
True,True,1013,52.38453334724865,4.892545431659382,t,Apartment,Entire home/apt,4,1.0,2.0,4.0,112.0,784.0,112.0,112.0,1,100.0,0.29386533359349676
True,True,1094,52.361929788889256,4.936400957199159,f,Apartment,Entire home/apt,4,1.0,2.0,2.0,100.0,700.0,100.0,100.0,420,97.0,0.39175334644891757
True,True,1054,52.36448156797004,4.877220554469521,t,Apartment,Entire home/apt,3,1.0,1.0,3.0,125.0,875.0,125.0,125.0,145,93.0,0.18781998633345753
True,True,1016 EZ,52.369164791657006,4.8844453447991505,t,Guest suite,Private room,4,2.0,2.0,2.0,225.0,"$2,225.00",225.0,225.0,82,97.0,0.6279134541283825
True,True,1094,52.364452721531094,4.931235930520656,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,109.0,$900.00,109.0,109.0,21,99.0,0.31833733680735193
True,True,1017 XL,52.362253841258536,4.901999344356419,t,Townhouse,Entire home/apt,4,2.5,3.0,6.0,450.0,"$2,250.00",450.0,450.0,26,96.0,2.4633136951675225
True,True,1073,52.35472482794198,4.893237543427079,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,100.0,$600.00,100.0,100.0,9,89.0,0.39175334644891757
True,True,1012 CK,52.368870779675284,4.8952338913153035,t,Serviced apartment,Private room,2,1.5,1.0,2.0,109.0,763.0,109.0,109.0,574,96.0,0.31833733680735193
True,True,1012 CK,52.36950063833623,4.895559709996519,t,Serviced apartment,Private room,2,1.5,1.0,2.0,109.0,763.0,109.0,109.0,527,96.0,0.31833733680735193
True,True,1016,52.373527199212894,4.876905973776999,t,Bed and breakfast,Private room,3,1.0,1.0,2.0,116.0,$749.00,116.0,116.0,131,92.0,0.26123599597502317
True,True,1071,52.3593509829142,4.876721555693788,f,Apartment,Entire home/apt,4,2.5,2.0,3.0,220.0,$950.00,220.0,220.0,58,99.0,0.5871267821052905
True,True,1015,52.37894280400968,4.890601996192832,t,Houseboat,Entire home/apt,2,1.0,1.0,2.0,175.0,"$1,000.00",175.0,175.0,82,94.0,0.2200467338974625
True,True,1015,52.37479553602839,4.880446471317074,f,Apartment,Entire home/apt,3,1.0,2.0,2.0,260.0,$999.00,260.0,260.0,10,91.0,0.9134201582900265
True,True,1093,52.364824885646925,4.9276155489234315,t,Apartment,Private room,3,1.0,1.0,1.0,105.0,$650.00,105.0,105.0,178,95.0,0.3509666744258256
True,True,1093,52.365509785021295,4.928480703679059,t,Apartment,Private room,2,1.0,1.0,1.0,70.0,490.0,70.0,70.0,246,94.0,0.6364733785874696
True,True,1013,52.38897577588911,4.890432078271875,t,Bed and breakfast,Private room,4,1.0,2.0,2.0,135.0,$630.00,135.0,135.0,39,98.0,0.10624664228727354
True,True,1013 GW,52.3797564854931,4.893977373685979,t,House,Private room,4,1.0,1.0,4.0,180.0,1260.0,180.0,180.0,115,92.0,0.2608334059205545
True,True,1013,52.37875854166035,4.8926359365709455,t,Boutique hotel,Private room,1,1.0,1.0,1.0,115.0,805.0,115.0,115.0,158,95.0,0.2693933303796415
True,True,1016,52.370259733420504,4.8800301947340445,f,Guesthouse,Entire home/apt,4,1.0,1.0,2.0,95.0,$702.00,95.0,95.0,695,88.0,0.43254001847200957
True,True,1011,52.37307393018357,4.893431575249236,t,Apartment,Entire home/apt,4,1.0,1.0,2.0,249.0,1743.0,249.0,249.0,116,96.0,0.8236894798392241
True,True,1017,52.367227634831025,4.891235317846856,t,Apartment,Private room,1,1.0,1.0,1.0,45.0,$315.00,45.0,45.0,403,93.0,0.8404067387029296
True,True,1057,52.364877997706216,4.851095907658352,t,Bed and breakfast,Private room,2,1.0,1.0,1.0,100.0,$600.00,100.0,100.0,68,94.0,0.39175334644891757
True,True,1011,52.372700232233804,4.907761448144871,t,Bed and breakfast,Private room,2,1.0,1.0,2.0,75.0,525.0,75.0,75.0,120,84.0,0.5956867065643776
True,True,1062,52.349103458307475,4.836112244063563,t,Bed and breakfast,Private room,2,1.0,1.0,2.0,40.0,280.0,40.0,40.0,141,89.0,0.8811934107260216
True,True,1075,52.35637466896349,4.865793029491886,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,115.0,$550.00,115.0,115.0,46,97.0,0.2693933303796415
True,True,1018,52.370074473314865,4.919603853810988,t,Apartment,Entire home/apt,3,1.0,1.0,3.0,150.0,1050.0,150.0,150.0,29,95.0,0.016113373782002467
True,True,1054,52.363971570386646,4.876509426612257,t,Apartment,Entire home/apt,2,1.0,1.0,2.0,100.0,$550.00,100.0,100.0,74,98.0,0.39175334644891757
True,True,1054 TN,52.36082925431396,4.856667424731347,t,Apartment,Entire home/apt,4,1.0,1.0,2.0,100.0,700.0,100.0,100.0,3,100.0,0.39175334644891757
True,True,1073,52.352437256002645,4.895948040507284,t,Bed and breakfast,Private room,4,1.0,1.0,2.0,165.0,"$1,053.00",165.0,165.0,106,89.0,0.13847338985127847
True,True,1017,52.365705366407134,4.884636190342678,t,Guest suite,Private room,2,1.0,1.0,1.0,94.0,$595.00,94.0,94.0,309,96.0,0.440697352876628
True,True,1053,52.368883436047646,4.8695483308640055,t,Apartment,Private room,2,1.0,1.0,1.0,87.0,$589.00,87.0,87.0,490,93.0,0.4977986937089568
True,True,1055 RC,52.38193171534977,4.855407320845144,t,Apartment,Entire home/apt,4,1.0,1.0,3.0,99.0,693.0,99.0,99.0,138,93.0,0.399910680853536
True,True,1093,52.360974573916025,4.927611460157401,t,Other,Entire home/apt,2,1.0,1.0,1.0,100.0,$500.00,100.0,100.0,38,95.0,0.39175334644891757
True,True,1072,52.35516967099702,4.8896934048978045,t,Apartment,Private room,2,1.0,1.0,1.0,80.0,$595.00,80.0,80.0,29,97.0,0.5549000345412856
True,True,1074,52.353609063743974,4.90562103218313,t,Townhouse,Private room,6,2.5,3.0,3.0,259.0,1813.0,259.0,259.0,87,96.0,0.9052628238854081
True,True,1094,52.36460689704278,4.938920082534415,t,Apartment,Entire home/apt,3,1.0,2.0,2.0,98.0,686.0,98.0,98.0,82,95.0,0.40806801525815434
True,True,1108,52.30617481870509,4.978865897717476,t,Apartment,Private room,4,1.0,1.0,2.0,35.0,$500.00,35.0,35.0,23,88.0,0.9219800827491136
True,True,1053 SK,52.36859520946438,4.864870318764639,t,Apartment,Private room,2,1.0,1.0,1.0,52.0,364.0,52.0,52.0,3,93.0,0.7833053978706008
True,True,1053,52.36673740948232,4.867455513006409,t,Apartment,Entire home/apt,4,1.0,1.0,2.0,100.0,$580.00,100.0,100.0,52,89.0,0.39175334644891757
True,True,1055,52.37961371756432,4.854432292549278,t,Apartment,Private room,2,1.0,1.0,1.0,89.0,623.0,89.0,89.0,580,88.0,0.48148402489972
True,True,1058,52.363675893649386,4.855056296869676,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,145.0,1015.0,145.0,145.0,46,94.0,0.024673298241089534
True,True,1056,52.3733601256194,4.857537320392232,t,Apartment,Entire home/apt,4,1.0,2.0,3.0,74.0,518.0,74.0,74.0,37,97.0,0.603844040968996
True,True,1013,52.37915713158128,4.894086123937185,t,Boutique hotel,Private room,2,1.0,1.0,1.0,120.0,840.0,120.0,120.0,204,90.0,0.22860665835654956
True,True,1015,52.381717144651354,4.883104127485947,t,Condominium,Entire home/apt,2,1.0,1.0,1.0,220.0,$700.00,220.0,220.0,18,100.0,0.5871267821052905
True,True,1016,52.36991235190708,4.882654520401399,t,Apartment,Entire home/apt,2,1.5,1.0,1.0,145.0,$875.00,145.0,145.0,47,96.0,0.024673298241089534
True,True,1052,52.36916386503589,4.86643475054097,t,Apartment,Entire home/apt,3,1.0,2.0,3.0,120.0,$650.00,120.0,120.0,102,95.0,0.22860665835654956
